詞	詞頻	注音	分類
不足	14	ㄅㄨˋ ㄗㄨˊ	教育
中輟預防	10	ㄓㄨㄥ ㄔㄨㄛˋ ㄩˋ ㄈㄤˊ	教育
人權教育	11	ㄖㄣˊ ㄑㄩㄢˊ ㄐㄧㄠˋ ㄩˋ	教育
個別化	14	ㄍㄜˋ ㄅㄧㄝˊ ㄏㄨㄚˋ	教育
健康	14	ㄐㄧㄢˋ ㄎㄤ	教育
內在動機	11	ㄋㄟˋ ㄗㄞˋ ㄉㄨㄥˋ ㄐㄧ	教育
內容效度	12	ㄋㄟˋ ㄖㄨㄥˊ ㄒㄧㄠˋ ㄉㄨˋ	教育
全球素養	12	ㄑㄩㄢˊ ㄑㄧㄡˊ ㄙㄨˋ ㄧㄤˇ	教育
全英語	13	ㄑㄩㄢˊ ㄧㄥ ㄩˇ	教育
公開授課	12	ㄍㄨㄥ ㄎㄞ ㄕㄡˋ ㄎㄜˋ	教育
動機理論	11	ㄉㄨㄥˋ ㄐㄧ ㄌㄧˇ ㄌㄨㄣˋ	教育
十二年	13	ㄕˊ ㄦˋ ㄋㄧㄢˊ	教育
協同學習	10	ㄒㄧㄝˊ ㄊㄨㄥˊ ㄒㄩㄝˊ ㄒㄧˊ	教育
參照	14	ㄘㄢ ㄓㄠˋ	教育
反應	15	ㄈㄢˇ ㄧㄥˋ	教育
反應題	11	ㄈㄢˇ ㄧㄥˋ ㄊㄧˊ	教育
古典	13	ㄍㄨˇ ㄉㄧㄢˇ	教育
合作學習	10	ㄏㄜˊ ㄗㄨㄛˋ ㄒㄩㄝˊ ㄒㄧˊ	教育
同儕評量	10	ㄊㄨㄥˊ ㄔㄞˊ ㄆㄧㄥˊ ㄌㄧㄤˊ	教育
命題原則	10	ㄇㄧㄥˋ ㄊㄧˊ ㄩㄢˊ ㄗㄜˊ	教育
