詞	詞頻	注音	分類
缺血性	10	ㄑㄩㄝ ㄒㄧㄝˇ ㄒㄧㄥˋ	醫學
置換	12	ㄓˋ ㄏㄨㄢˋ	醫學
耐受試驗	9	ㄋㄞˋ ㄕㄡˋ ㄕˋ ㄧㄢˋ	醫學
聽力	11	ㄊㄧㄥ ㄌㄧˋ	醫學
肌肉	12	ㄐㄧ ㄖㄡˋ	醫學
肌萎縮性	10	ㄐㄧ ㄨㄟˇ ㄙㄨㄛ ㄒㄧㄥˋ	醫學
肌酸激酶	14	ㄐㄧ ㄙㄨㄢ ㄐㄧ ㄇㄟˊ	醫學
肌酸酐比	11	ㄐㄧ ㄙㄨㄢ ㄏㄤˇ ㄅㄧˇ	醫學
肌鈣蛋白	8	ㄐㄧ ㄍㄞˋ ㄉㄢˋ ㄅㄞˊ	醫學
肝臟	13	ㄍㄢ ㄗㄤˋ	醫學
肩旋轉肌	11	ㄐㄧㄢ ㄒㄩㄢˊ ㄓㄨㄢˇ ㄐㄧ	醫學
肺病	11	ㄈㄟˋ ㄅㄧㄥˋ	醫學
肺纖維化	12	ㄈㄟˋ ㄒㄧㄢ ㄨㄟˊ ㄏㄨㄚˋ	醫學
肺部	14	ㄈㄟˋ ㄅㄨˋ	醫學
胃食道	11	ㄨㄟˋ ㄕˊ ㄉㄠˋ	醫學
